N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
35,포스코케미칼,"148,000","2,000",-1.33%,500,"114,646","77,463",7.83,"299,616",106.94,2.96,
36,KT&G,"81,100",800,-0.98%,"5,000","111,344","137,292",37.03,"423,348",9.66,13.22,
37,하이브,"285,000","8,000",-2.73%,500,"111,295","39,051",16.53,"154,112",101.39,12.52,
38,넷마블,"126,500","3,000",-2.32%,100,"108,731","85,954",22.71,"214,941",34.41,6.35,
39,삼성화재,"225,000","2,000",-0.88%,500,"106,593","47,375",48.42,"150,352",11.21,4.96,
40,두산중공업,"19,500","1,400",-6.70%,"5,000","99,921","512,416",9.86,"8,802,062",-46.32,-37.20,
41,S-Oil,"87,900","4,900",-5.28%,"2,500","98,960","112,583",78.06,"459,074",23.88,-13.07,
42,대한항공,"28,400",800,-2.74%,"5,000","98,781","347,821",10.79,"1,743,273",12.14,-7.22,
43,고려아연,"499,500","13,500",-2.63%,"5,000","94,256","18,870",20.18,"57,883",14.62,8.37,
44,SK바이오팜,"115,000","4,500",-3.77%,500,"90,060","78,313",6.62,"361,789",-166.91,-135.18,
45,KT,"33,200","1,100",-3.21%,"5,000","86,689","261,112",44.33,"1,482,944",11.52,4.76,
46,한온시스템,"15,450",700,-4.33%,100,"82,472","533,800",17.81,"1,673,139",61.07,5.09,
47,롯데케미칼,"236,000","9,000",-3.67%,"5,000","80,890","34,275",26.70,"143,241",6.77,1.22,
48,한국조선해양,"110,500","6,000",-5.15%,"5,000","78,204","70,773",17.68,"468,155",-8.46,-7.42,
49,우리금융지주,"10,750",300,-2.71%,"5,000","77,644","722,268",28.10,"3,063,934",5.33,5.87,
50,기업은행,"10,000",250,-2.44%,"5,000","74,430","744,301",12.89,"1,969,452",4.89,6.44,
51,LG디스플레이,"20,250","1,200",-5.59%,"5,000","72,458","357,816",17.84,"3,347,386",21.45,-0.79,
52,한화솔루션,"37,650","1,050",-2.71%,"5,000","72,016","191,278",16.94,"842,753",9.34,5.30,
53,현대글로비스,"179,000","7,000",-3.76%,500,"67,125","37,500",34.68,"138,614",11.67,12.45,
54,CJ제일제당,"434,000","13,500",-3.02%,"5,000","65,335","15,054",24.49,"51,494",17.46,13.50,
55,현대제철,"46,500","2,850",-5.78%,"5,000","62,052","133,446",20.45,"1,283,193",-59.24,-2.59,
56,SKC,"163,500","3,500",+2.19%,"5,000","61,915","37,868",13.31,"647,971","-2,595.24",2.21,
57,LG유플러스,"13,900",450,-3.14%,"5,000","60,689","436,611",32.86,"1,240,442",11.71,6.46,
58,에스디바이오센서,"55,500",700,-1.25%,500,"57,316","103,271",2.22,"1,747,468",8.41,139.97,
59,한국타이어앤테크놀로지,"45,300","1,900",-4.03%,500,"56,115","123,875",41.72,"361,722",12.48,5.12,
60,금호석유,"182,000","8,000",-4.21%,"5,000","55,451","30,468",20.78,"413,659",6.55,20.18,
61,현대건설,"49,050","2,350",-4.57%,"5,000","54,620","111,356",21.19,"895,574",44.35,1.84,
62,강원랜드,"25,350","1,050",-3.98%,500,"54,234","213,940",19.31,"1,239,243",-33.75,-7.92,
63,코웨이,"73,000","1,100",-1.48%,500,"53,874","73,800",59.19,"214,340",12.56,31.51,
64,F&F,"703,000","22,000",-3.03%,500,"53,860","7,661",10.64,"70,768",N/A,N/A,
65,미래에셋증권,"8,380",350,-4.01%,"5,000","53,240","635,316",13.83,"2,106,174",6.68,8.94,
66,현대중공업지주,"63,900","2,700",-4.05%,"1,000","50,477","78,993",17.24,"282,156",-22.32,-8.12,
